50-sparse-2.html:30 -	time	id	type	x	y
50-sparse-2.html:128 -	200	17	1	64.42364532019707	71.83251231527092
50-sparse-2.html:128 -	200	18	1	33.751243781094516	49.43283582089551
50-sparse-2.html:128 -	200	19	1	94.98019801980199	143.04455445544556
50-sparse-2.html:128 -	200	20	1	7.425742574257428	16.143564356435643
50-sparse-2.html:128 -	200	21	1	18.467661691542297	85.37313432835829
50-sparse-2.html:128 -	200	22	1	117.82089552238804	2.2338308457711946
50-sparse-2.html:128 -	200	23	1	37.45771144278605	144.7960199004974
50-sparse-2.html:128 -	200	24	1	53.17821782178219	145.70297029702976
50-sparse-2.html:128 -	200	25	1	103.35323383084577	121.726368159204
50-sparse-2.html:128 -	200	26	1	7.517412935323385	27.11940298507464
50-sparse-2.html:128 -	200	27	1	62.18500000000001	111.18499999999999
50-sparse-2.html:128 -	200	28	1	129.34158415841586	72.94059405940601
50-sparse-2.html:128 -	200	29	1	46.2139303482587	64.32835820895527
50-sparse-2.html:128 -	200	30	1	40.15920398009951	7.880597014925373
50-sparse-2.html:128 -	200	31	1	53.95522388059702	85.13930348258705
​ -	200	32	1	82.49499999999998	1.3000000000000966
​ -	200	33	1	54.594059405940605	12.48514851485149
​ -	200	34	1	139.38805970149252	113.90049751243778
​ -	200	35	1	20.544554455445542	44.24257425742576
​ -	200	36	1	108.53731343283582	95.17412935323381
​ -	200	37	1	34.118811881188144	123.94554455445545
​ -	200	38	1	119.9405940594059	53.16831683168316
​ -	200	39	1	5.248756218905471	55.20398009950249
​ -	200	40	1	45.50000000000003	122.52000000000005
​ -	200	41	1	141.5323383084577	104.4776119402985
​ -	200	42	1	4.024875621890543	87.52736318407959
​ -	200	43	1	0.5820895522388045	76.38308457711445
​ -	200	44	1	33.94581280788176	18.931034482758623
​ -	200	45	1	45.965346534653456	25.341584158415827
​ -	200	46	1	57.35148514851487	123.17821782178216
​ -	200	47	1	121.41293532338311	20.45273631840796
​ -	200	48	1	85.6169154228856	89.84577114427861
​ -	200	49	1	98.97536945812811	15.123152709359603
​ -	200	50	1	5.1576354679802945	99.12315270935962
​ -	210	1	1	65.78325123152709	61.40394088669951
​ -	210	2	1	18.732673267326735	114.89603960396042
​ -	210	3	1	62.84729064039408	83.45812807881774
​ -	210	4	1	31.804999999999993	31.289999999999985
​ -	210	5	1	17.45771144278607	32.189054726368155
​ -	210	6	1	110.23762376237624	13.589108910891094
​ -	210	7	1	72.97014925373134	2.7114427860696515
​ -	210	8	1	141.56716417910448	70.3731343283582
​ -	210	9	1	103.69651741293539	149.44776119402985
​ -	210	10	1	144.93532338308458	56.54726368159203
​ -	210	11	1	119.94554455445551	103.63861386138623
​ -	210	12	1	127.76237623762373	61.43069306930695
​ -	210	13	1	111.98514851485147	129.00495049504963
​ -	210	14	1	116.47761194029847	116.68159203980098
​ -	210	15	1	1.316831683168317	42.51485148514851
​ -	210	16	1	69.33663366336634	10.103960396039602
​ -	210	17	1	64.36138613861388	72.31188118811879
​ -	210	18	1	32.83084577114427	50.184079601990035
​ -	210	19	1	94.44554455445542	143.7178217821783
​ -	210	20	1	7.693069306930695	16.019801980198014
​ -	210	21	1	18.641791044776127	85.29850746268656
​ -	210	22	1	118.18316831683173	2.7376237623761313
​ -	210	23	1	38.21890547263681	146.2089552238806
​ -	210	24	1	53.09900990099008	144.97029702970295
​ -	210	25	1	103.27860696517412	121.8208955223881
​ -	210	26	1	7.258706467661692	27.462686567164187
​ -	210	27	1	61.19900497512439	111.99502487562187
​ -	210	28	1	129.5294117647058	73.84803921568628
​ -	210	29	1	45.54950495049507	63.77227722772282
​ -	210	30	1	39.83582089552235	8.069651741293535
​ -	210	31	1	52.62499999999998	84.97999999999998
​ -	210	32	1	82.58706467661692	1.3283582089551658
​ -	210	33	1	54.85572139303481	11.542288557213933
​ -	210	34	1	138.24378109452738	114.27363184079599
​ -	210	35	1	21.95049504950495	45.034653465346544
​ -	210	36	1	107.19801980198017	95.0544554455446
​ -	210	37	1	34.089108910891106	124.9059405940594
​ -	210	38	1	121.32835820895522	52.13432835820896
​ -	210	39	1	7.045000000000001	54.61500000000002
​ -	210	40	1	45.17910447761194	122.21393034825867
​ -	210	41	1	140.3694581280788	104.49753694581283
​ -	210	42	1	3.9405940594059405	87.83663366336634
​ -	210	43	1	0.6716417910447755	76.00000000000004
​ -	210	44	1	33.09405940594061	18.549504950495056
​ -	210	45	1	46.28217821782178	24.009900990099013
​ -	210	46	1	56.63861386138613	125.1435643564356
​ -	210	47	1	122.80198019801978	20.53465346534654
​ -	210	48	1	83.76616915422886	88.93034825870649
​ -	210	49	1	99.4108910891089	15.396039603960382
​ -	210	50	1	4.330000000000001	99.885
​ -	220	1	1	64.73039215686273	61.26960784313723
​ -	220	2	1	18.450000000000006	113.675
​ -	220	3	1	61.519607843137244	84.2401960784314
​ -	220	4	1	33.089552238805965	30.980099502487562
​ -	220	5	1	18.505000000000003	31.579999999999995
​ -	220	6	1	111.13366336633669	14.722772277227723
​ -	220	7	1	73.12437810945272	2.746268656716418
​ -	220	8	1	141.60199004975124	69.14925373134331
​ -	220	9	1	104.61691542288553	149.6417910447761
​ -	220	10	1	146.63861386138615	56.26237623762377
​ -	220	11	1	121.04433497536942	102.90640394088673
​ -	220	12	1	127.960396039604	62.811881188118804
​ -	220	13	1	111.64851485148517	128.46039603960398
​ -	220	14	1	117.34825870646772	115.63681592039799
​ -	220	15	1	2.811881188118811	42.57920792079208
​ -	220	16	1	70.84577114427861	10.955223880597014
​ -	220	17	1	63.98029556650244	73.03448275862064
​ -	220	18	1	31.856435643564346	51.93069306930694
​ -	220	19	1	94.35643564356434	144.6237623762375
​ -	220	20	1	8.393034825870643	15.557213930348256
​ -	220	21	1	18.925373134328375	85.27860696517412
​ -	220	22	1	118.41584158415849	3.311881188118815
​ -	220	23	1	38.30845771144278	147.44278606965173
​ -	220	24	1	52.26368159203983	143.94029850746261
​ -	220	25	1	103.37623762376235	121.81683168316825
​ -	220	26	1	6.452736318407959	28.721393034825862
​ -	220	27	1	59.76847290640395	113.4039408866995
​ -	220	28	1	129.66169154228857	75.15422885572141
​ -	220	29	1	45.242574257425744	62.89603960396042
​ -	220	30	1	39.75247524752474	7.999999999999997
​ -	220	31	1	50.96059113300494	84.7536945812808
​ -	220	32	1	82.84158415841583	1.4306930693069262
​ -	220	33	1	55.423645320197046	10.24137931034483
​ -	220	34	1	137.06435643564348	115.46039603960396
​ -	220	35	1	23.470297029702976	45.74257425742574
50-sparse-2.html:128 -	220	36	1	105.2238805970149	94.77611940298513
50-sparse-2.html:128 -	220	37	1	33.544999999999995	125.74999999999993
50-sparse-2.html:128 -	220	38	1	122.75742574257427	52.10396039603961
50-sparse-2.html:128 -	220	39	1	9.389162561576352	53.94088669950739
50-sparse-2.html:128 -	220	40	1	44.30499999999998	121.66999999999999
50-sparse-2.html:128 -	220	41	1	138.83168316831683	104.55940594059406
50-sparse-2.html:128 -	220	42	1	3.567164179104475	88.13930348258704
50-sparse-2.html:128 -	220	43	1	0.41584158415841554	75.9059405940594
50-sparse-2.html:128 -	220	44	1	31.96517412935324	18.189054726368163
50-sparse-2.html:128 -	220	45	1	46.86	22.70499999999999
50-sparse-2.html:128 -	220	46	1	55.635000000000005	126.24
50-sparse-2.html:128 -	220	47	1	124.48756218905474	20.577114427860696
50-sparse-2.html:128 -	220	48	1	81.43564356435647	87.7326732673267
50-sparse-2.html:128 -	220	49	1	99.83663366336627	15.643564356435645
50-sparse-2.html:128 -	220	50	1	3.0049504950495054	101.5891089108911
50-sparse-2.html:128 -	230	1	1	63.59701492537313	61.07462686567162
50-sparse-2.html:128 -	230	2	1	17.82673267326732	112.13861386138612
50-sparse-2.html:128 -	230	3	1	60.3861386138614	84.9207920792079
50-sparse-2.html:128 -	230	4	1	34.044554455445514	30.623762376237632
50-sparse-2.html:128 -	230	5	1	19.77114427860696	30.771144278606986
50-sparse-2.html:128 -	230	6	1	112.2338308457712	15.850746268656717
50-sparse-2.html:128 -	230	7	1	72.82587064676619	2.4925373134327913
50-sparse-2.html:128 -	230	8	1	141.43	67.63499999999995
50-sparse-2.html:128 -	230	9	1	104.9303482587064	0.25373134328358254
50-sparse-2.html:128 -	230	10	1	148.34653465346534	56.3168316831683
50-sparse-2.html:128 -	230	11	1	121.98514851485155	101.96534653465343
50-sparse-2.html:128 -	230	12	1	127.41379310344828	64.23152709359609
50-sparse-2.html:128 -	230	13	1	111.2315270935961	127.58128078817742
