obstacle-50-dense-2.html:30 -	time	id	type	x	y
obstacle-50-dense-2.html:131 -	50	107	2	69.42500000000001	8.254999999999992
obstacle-50-dense-2.html:131 -	50	108	2	133.25510204081633	74.62244897959181
obstacle-50-dense-2.html:131 -	50	109	2	87.30348258706462	134.6815920398009
obstacle-50-dense-2.html:131 -	50	110	2	130.3673469387756	63.58163265306124
obstacle-50-dense-2.html:131 -	50	111	2	107.72636815920396	114.9154228855722
obstacle-50-dense-2.html:131 -	50	112	2	118.49009900990096	38.51485148514852
obstacle-50-dense-2.html:131 -	50	113	2	122.56716417910451	148.22885572139305
obstacle-50-dense-2.html:131 -	50	114	2	127.07462686567162	124.2437810945274
obstacle-50-dense-2.html:131 -	50	115	2	141.29591836734693	42.62244897959184
obstacle-50-dense-2.html:131 -	50	116	2	53.68159203980101	15.766169154228848
obstacle-50-dense-2.html:131 -	50	117	2	71.41584158415846	55.905940594059416
obstacle-50-dense-2.html:131 -	50	118	2	42.03960396039604	48.41584158415844
obstacle-50-dense-2.html:131 -	50	119	2	89.50990099009897	118.05940594059409
obstacle-50-dense-2.html:131 -	50	121	2	13.568527918781728	93.39593908629438
obstacle-50-dense-2.html:131 -	50	122	2	107.37185929648243	141.35175879396996
obstacle-50-dense-2.html:131 -	50	123	2	40.53233830845772	125.6965174129353
obstacle-50-dense-2.html:131 -	50	124	2	41.228855721393046	149.96517412935324
obstacle-50-dense-2.html:131 -	50	125	2	109.65000000000006	129.905
obstacle-50-dense-2.html:131 -	50	126	2	147.19	23.445000000000004
obstacle-50-dense-2.html:131 -	50	127	2	77.0990099009901	105.53465346534658
obstacle-50-dense-2.html:131 -	50	128	2	119.32487309644672	55.614213197969555
obstacle-50-dense-2.html:131 -	50	129	2	55.48756218905475	86.7661691542289
obstacle-50-dense-2.html:131 -	50	130	2	26.39603960396041	136.21287128712873
obstacle-50-dense-2.html:131 -	50	131	2	69.06565656565658	89.00000000000003
obstacle-50-dense-2.html:131 -	50	132	2	85.20603015075378	3.809045226130655
obstacle-50-dense-2.html:131 -	50	133	2	63.74129353233835	26.024875621890555
obstacle-50-dense-2.html:131 -	50	134	2	134.22499999999997	97.70000000000002
obstacle-50-dense-2.html:131 -	50	135	2	11.165829145728644	54.5678391959799
obstacle-50-dense-2.html:131 -	50	136	2	120.58499999999995	104.71000000000001
obstacle-50-dense-2.html:131 -	50	137	2	56.27586206896551	112.51231527093594
obstacle-50-dense-2.html:131 -	50	138	2	104.04477611940297	54.51741293532341
obstacle-50-dense-2.html:131 -	50	139	2	139.5482233502538	54.49746192893401
obstacle-50-dense-2.html:131 -	50	140	2	56.351485148514875	132.94554455445552
obstacle-50-dense-2.html:131 -	50	141	2	144.8112244897959	87.58163265306122
obstacle-50-dense-2.html:131 -	50	142	2	22.621212121212118	85.24747474747474
obstacle-50-dense-2.html:131 -	50	143	2	13.50753768844221	71.35678391959796
obstacle-50-dense-2.html:131 -	50	144	2	40.080000000000005	29.134999999999998
obstacle-50-dense-2.html:131 -	50	145	2	57.777227722772295	40.27227722772277
obstacle-50-dense-2.html:131 -	50	146	2	71.10396039603965	122.47524752475245
obstacle-50-dense-2.html:131 -	50	147	2	104.575	24.449999999999996
obstacle-50-dense-2.html:131 -	50	148	2	100.27999999999997	88.37499999999997
obstacle-50-dense-2.html:131 -	50	149	2	86.49748743718592	21.63819095477386
obstacle-50-dense-2.html:131 -	50	150	2	13.105527638190951	107.7889447236181
obstacle-50-dense-2.html:131 -	60	101	2	85.99500000000002	72.15
obstacle-50-dense-2.html:131 -	60	102	2	149.82587064676616	135.68159203980096
obstacle-50-dense-2.html:131 -	60	103	2	73.62189054726369	72.46766169154232
obstacle-50-dense-2.html:131 -	60	104	2	24.228855721393042	41.75124378109453
obstacle-50-dense-2.html:131 -	60	105	2	11.17821782178218	35.43564356435644
obstacle-50-dense-2.html:131 -	60	106	2	103.67	9.625
obstacle-50-dense-2.html:131 -	60	107	2	69.45273631840797	8.263681592039793
obstacle-50-dense-2.html:131 -	60	108	2	133.21827411167513	74.65989847715737
obstacle-50-dense-2.html:131 -	60	109	2	87.3465346534653	134.69801980198008
obstacle-50-dense-2.html:131 -	60	110	2	130.36040609137052	63.482233502538065
obstacle-50-dense-2.html:131 -	60	111	2	107.71500000000003	114.88000000000007
obstacle-50-dense-2.html:131 -	60	112	2	118.3497536945813	38.50246305418719
obstacle-50-dense-2.html:131 -	60	113	2	122.61691542288553	148.22388059701493
obstacle-50-dense-2.html:131 -	60	114	2	127.08542713567843	124.23618090452258
obstacle-50-dense-2.html:131 -	60	115	2	141.1326530612245	42.39285714285716
obstacle-50-dense-2.html:131 -	60	116	2	53.64499999999999	15.920000000000007
obstacle-50-dense-2.html:131 -	60	117	2	71.10396039603961	55.93564356435643
obstacle-50-dense-2.html:131 -	60	118	2	41.9059405940594	49.09405940594057
obstacle-50-dense-2.html:131 -	60	119	2	89.45273631840791	118.04975124378113
obstacle-50-dense-2.html:131 -	60	121	2	13.568527918781728	93.39593908629438
obstacle-50-dense-2.html:131 -	60	122	2	107.41206030150757	140.97989949748734
obstacle-50-dense-2.html:131 -	60	123	2	40.54228855721389	125.7014925373134
obstacle-50-dense-2.html:131 -	60	124	2	41.21890547263682	149.96019900497512
obstacle-50-dense-2.html:131 -	60	125	2	109.77272727272724	129.71717171717174
obstacle-50-dense-2.html:131 -	60	126	2	147.19	23.445000000000004
obstacle-50-dense-2.html:131 -	60	127	2	76.75742574257423	105.60396039603958
obstacle-50-dense-2.html:131 -	60	128	2	119.32487309644672	55.614213197969555
obstacle-50-dense-2.html:131 -	60	129	2	55.48756218905475	86.7661691542289
obstacle-50-dense-2.html:131 -	60	130	2	26.405000000000015	136.3049999999999
obstacle-50-dense-2.html:131 -	60	131	2	69.22388059701487	89.31343283582089
obstacle-50-dense-2.html:131 -	60	132	2	85.2537313432836	3.88557213930348
obstacle-50-dense-2.html:131 -	60	133	2	64.01990049751245	26.02985074626865
obstacle-50-dense-2.html:131 -	60	134	2	134.13065326633168	97.98492462311559
